AREA,PERIMETER,ECCENTRICITY,CONVEX_AREA,EXTENT,ROUNDNESS,COMPACTNESS,Class
91090,1241.655,0.8624,92981,0.7762,0.7425,0.706,Kirmizi_Pistachio
83628,1838.771,0.8839,90339,0.7383,0.3108,0.6619,Kirmizi_Pistachio
71716,1090.189,0.8505,73338,0.7484,0.7583,0.7224,Kirmizi_Pistachio
89168,1332.229,0.8892,91854,0.7519,0.6313,0.6683,Kirmizi_Pistachio
78126,1928.827,0.8542,87390,0.728,0.2639,0.6914,Kirmizi_Pistachio
53028,1262.9,0.9216,56488,0.7212,0.4178,0.6149,Kirmizi_Pistachio
84987,1136.249,0.8569,87045,0.7701,0.8272,0.7117,Kirmizi_Pistachio
80770,1256.714,0.8453,85247,0.6878,0.6427,0.7193,Kirmizi_Pistachio
84880,1458.657,0.8551,91934,0.706,0.5013,0.6916,Kirmizi_Pistachio
73254,1967.176,0.8388,80327,0.7125,0.2379,0.7109,Kirmizi_Pistachio
84010,1241.546,0.8921,85410,0.7595,0.6849,0.6667,Kirmizi_Pistachio
85018,1274.892,0.8338,88270,0.7659,0.6573,0.7363,Kirmizi_Pistachio
81487,1305.462,0.8805,88994,0.709,0.6009,0.6713,Kirmizi_Pistachio
60009,1132.484,0.8797,62815,0.7488,0.588,0.682,Kirmizi_Pistachio
75881,1112.911,0.8656,79014,0.7528,0.7699,0.6984,Kirmizi_Pistachio
63231,1107.589,0.8926,66893,0.6484,0.6477,0.6634,Kirmizi_Pistachio
73482,2621.3689,0.8523,93439,0.6051,0.1344,0.6322,Kirmizi_Pistachio
76715,1163.726,0.8574,78143,0.7481,0.7119,0.7109,Kirmizi_Pistachio
79819,1193.443,0.8571,82878,0.7369,0.7042,0.7109,Kirmizi_Pistachio
69644,1146.145,0.839,74435,0.6963,0.6662,0.7256,Kirmizi_Pistachio
60466,1602.021,0.7714,72465,0.6676,0.2961,0.7345,Kirmizi_Pistachio
35873,971.085,0.8979,37935,0.7731,0.478,0.6552,Kirmizi_Pistachio
63966,1790.7111,0.818,74929,0.6141,0.2507,0.7113,Kirmizi_Pistachio
71326,1254.259,0.8948,74246,0.6846,0.5697,0.6576,Kirmizi_Pistachio
83131,1210.476,0.8285,87361,0.7965,0.713,0.7388,Kirmizi_Pistachio
75519,1177.696,0.8615,82240,0.6927,0.6842,0.6908,Kirmizi_Pistachio
79537,1439.5129,0.8806,84281,0.7568,0.4823,0.6817,Kirmizi_Pistachio
84746,1311.157,0.8725,92914,0.7162,0.6195,0.6804,Kirmizi_Pistachio
80715,1144.972,0.8669,83013,0.7613,0.7737,0.6992,Kirmizi_Pistachio
77596,1235.537,0.8689,81221,0.7448,0.6388,0.6905,Kirmizi_Pistachio
83019,1180.433,0.8888,84468,0.75,0.7487,0.6739,Kirmizi_Pistachio
66035,2038.506,0.8793,76729,0.6566,0.1997,0.6655,Kirmizi_Pistachio
64036,1162.109,0.869,69546,0.6947,0.5959,0.6868,Kirmizi_Pistachio
49216,1063.024,0.9057,52114,0.7365,0.5473,0.6442,Kirmizi_Pistachio
75982,1171.054,0.896,77284,0.7004,0.6963,0.6627,Kirmizi_Pistachio
76680,1383.629,0.863,79672,0.7533,0.5033,0.7055,Kirmizi_Pistachio
90014,1207.855,0.8854,90832,0.7498,0.7753,0.6797,Kirmizi_Pistachio
75639,1164.824,0.9026,76819,0.7991,0.7005,0.6552,Kirmizi_Pistachio
47569,1441.626,0.8716,55844,0.6452,0.2876,0.6685,Kirmizi_Pistachio
66817,1267.011,0.9091,72895,0.6172,0.523,0.6312,Kirmizi_Pistachio
43091,1025.4771,0.946,44865,0.7672,0.5149,0.5653,Kirmizi_Pistachio
41435,1103.095,0.8424,44863,0.7345,0.4279,0.717,Kirmizi_Pistachio
64467,1253.8051,0.8469,72618,0.6585,0.5153,0.6959,Kirmizi_Pistachio
80709,1212.319,0.8939,82486,0.7768,0.6901,0.6646,Kirmizi_Pistachio
40127,858.363,0.8847,41290,0.7464,0.6844,0.6749,Kirmizi_Pistachio
69391,1529.824,0.7728,80807,0.6959,0.3726,0.7271,Kirmizi_Pistachio
90235,1236.269,0.8725,91662,0.772,0.7419,0.6976,Kirmizi_Pistachio
79538,1222.442,0.8743,83048,0.7045,0.6688,0.6836,Kirmizi_Pistachio
64717,1026.028,0.8793,65539,0.7701,0.7725,0.689,Kirmizi_Pistachio
60483,1258.101,0.8768,63874,0.751,0.4802,0.6867,Kirmizi_Pistachio
75774,1246.739,0.896,79477,0.7284,0.6126,0.6587,Kirmizi_Pistachio
66992,1071.2889,0.8809,68406,0.747,0.7335,0.6832,Kirmizi_Pistachio
96118,1282.005,0.8716,97545,0.7479,0.7349,0.6959,Kirmizi_Pistachio
79642,1144.603,0.8789,80431,0.7782,0.7639,0.6864,Kirmizi_Pistachio
78285,1169.6429,0.8824,80368,0.6502,0.7191,0.6789,Kirmizi_Pistachio
64753,1081.6591,0.8809,66292,0.7858,0.6955,0.68,Kirmizi_Pistachio
83333,1146.979,0.8607,84260,0.8123,0.796,0.7116,Kirmizi_Pistachio
74490,1116.386,0.868,75261,0.7523,0.7511,0.7,Kirmizi_Pistachio
78544,1281.4091,0.8645,82685,0.7441,0.6011,0.6942,Kirmizi_Pistachio
82130,1169.217,0.8692,84565,0.778,0.755,0.6932,Kirmizi_Pistachio
75582,1175.749,0.8842,79172,0.7161,0.6871,0.6723,Kirmizi_Pistachio
67777,1451.34,0.8761,75136,0.5933,0.4043,0.6739,Kirmizi_Pistachio
66313,1870.754,0.7798,81481,0.6049,0.2381,0.7207,Kirmizi_Pistachio
77399,1586.882,0.8439,81776,0.7448,0.3862,0.7218,Kirmizi_Pistachio
66494,1084.077,0.873,68650,0.7162,0.711,0.6897,Kirmizi_Pistachio
78060,1251.8199,0.8767,83510,0.6835,0.626,0.6705,Kirmizi_Pistachio
79341,1286.035,0.8972,83022,0.6746,0.6028,0.6486,Kirmizi_Pistachio
77609,1185.8409,0.8279,86626,0.7368,0.6935,0.7267,Kirmizi_Pistachio
89531,1201.969,0.858,90741,0.7646,0.7787,0.7097,Kirmizi_Pistachio
73388,1283.759,0.8338,76901,0.7177,0.5596,0.7311,Kirmizi_Pistachio
71029,1069.976,0.8736,71666,0.7686,0.7796,0.6916,Kirmizi_Pistachio
65251,1139.3781,0.8772,67679,0.7619,0.6316,0.6864,Kirmizi_Pistachio
85324,1188.8781,0.8327,90301,0.751,0.7586,0.7305,Kirmizi_Pistachio
76016,1107.249,0.8896,76849,0.7968,0.7792,0.674,Kirmizi_Pistachio
53718,1865.593,0.8494,69055,0.6122,0.194,0.6458,Kirmizi_Pistachio
64511,1050.392,0.8866,66212,0.7521,0.7348,0.6747,Kirmizi_Pistachio
65727,1125.891,0.8302,67857,0.6987,0.6516,0.7385,Kirmizi_Pistachio
78993,1217.459,0.8528,85685,0.6853,0.6697,0.7,Kirmizi_Pistachio
63091,1058.692,0.8753,65645,0.762,0.7074,0.6868,Kirmizi_Pistachio
96045,1219.256,0.8612,96827,0.7379,0.8119,0.7123,Kirmizi_Pistachio
78693,1198.9449,0.8981,80701,0.7494,0.6879,0.6595,Kirmizi_Pistachio
72615,1225.478,0.8843,75059,0.6946,0.6076,0.6796,Kirmizi_Pistachio
65779,1267.324,0.8824,70345,0.7041,0.5147,0.6699,Kirmizi_Pistachio
65688,1333.7,0.8363,67970,0.7766,0.4641,0.7323,Kirmizi_Pistachio
65159,1111.235,0.8922,67136,0.7005,0.6631,0.6689,Kirmizi_Pistachio
76885,1219.3051,0.8692,81269,0.7206,0.6499,0.6861,Kirmizi_Pistachio
73912,1415.202,0.876,80276,0.7301,0.4638,0.6728,Kirmizi_Pistachio
57830,1058.76,0.7853,60657,0.7305,0.6483,0.7747,Kirmizi_Pistachio
59753,1733.895,0.8869,68239,0.6377,0.2498,0.6597,Kirmizi_Pistachio
44350,1077.984,0.8922,47065,0.6157,0.4796,0.6603,Kirmizi_Pistachio
64813,1085.75,0.8661,67551,0.6906,0.6909,0.6954,Kirmizi_Pistachio
87582,2388.78,0.7994,99467,0.6843,0.1929,0.7371,Kirmizi_Pistachio
55916,1646.803,0.8254,62543,0.6959,0.2591,0.7258,Kirmizi_Pistachio
76819,1230.549,0.9018,78795,0.7633,0.6375,0.6517,Kirmizi_Pistachio
65433,1101.097,0.8779,67137,0.7526,0.6782,0.6842,Kirmizi_Pistachio
79828,1243.63,0.8976,84633,0.6945,0.6486,0.6465,Kirmizi_Pistachio
86019,1395.735,0.8926,90802,0.705,0.5549,0.6625,Kirmizi_Pistachio
56408,1140.973,0.8526,59058,0.7379,0.5445,0.7167,Kirmizi_Pistachio
96452,1199.712,0.8056,99270,0.7725,0.8421,0.765,Siit_Pistachio
88465,1134.158,0.8264,89044,0.7494,0.8642,0.7484,Siit_Pistachio
93543,1556.7419,0.8213,99955,0.7561,0.4851,0.7379,Siit_Pistachio
95011,1236.037,0.7696,98973,0.7412,0.7815,0.7876,Siit_Pistachio
79307,1147.151,0.8092,84816,0.6384,0.7573,0.747,Siit_Pistachio
97686,2266.385,0.7875,108671,0.6967,0.239,0.7434,Siit_Pistachio
101987,2245.0081,0.8091,107963,0.7172,0.2543,0.7499,Siit_Pistachio
88683,1623.535,0.7984,102844,0.6646,0.4228,0.7347,Siit_Pistachio
97474,1891.667,0.8194,102878,0.7669,0.3423,0.7453,Siit_Pistachio
101830,1654.688,0.8197,108843,0.726,0.4674,0.747,Siit_Pistachio
90638,1165.7321,0.8458,91658,0.7516,0.8382,0.7281,Siit_Pistachio
104783,1258.2271,0.8529,105481,0.752,0.8317,0.7202,Siit_Pistachio
84923,1199.219,0.8692,86519,0.6558,0.7421,0.7006,Siit_Pistachio
95819,1201.66,0.8371,96989,0.7603,0.8339,0.739,Siit_Pistachio
76256,1479.574,0.8072,83363,0.7071,0.4377,0.738,Siit_Pistachio
81267,1095.214,0.8197,81834,0.7363,0.8514,0.7529,Siit_Pistachio
91594,2203.262,0.8211,97782,0.7464,0.2371,0.7369,Siit_Pistachio
72587,1089.3199,0.803,78430,0.7322,0.7687,0.751,Siit_Pistachio
105901,1342.899,0.8386,110019,0.7318,0.7379,0.7314,Siit_Pistachio
76437,1181.916,0.8812,78747,0.5818,0.6876,0.6814,Siit_Pistachio
92504,1344.2419,0.8352,95514,0.6751,0.6433,0.7382,Siit_Pistachio
82668,1208.691,0.8305,84435,0.6522,0.7111,0.7447,Siit_Pistachio
97587,1485.163,0.843,102813,0.6696,0.556,0.727,Siit_Pistachio
94328,1187.499,0.8351,95643,0.7801,0.8406,0.739,Siit_Pistachio
82074,1908.745,0.6858,89920,0.7167,0.2831,0.8199,Siit_Pistachio
91246,1285.021,0.8228,92938,0.6681,0.6944,0.7526,Siit_Pistachio
101482,1271.807,0.8308,102538,0.6833,0.7884,0.7434,Siit_Pistachio
73590,1088.728,0.8446,74769,0.6997,0.7802,0.7302,Siit_Pistachio
79984,1119.152,0.8203,80923,0.7116,0.8025,0.755,Siit_Pistachio
80425,1099.2,0.8336,81322,0.7421,0.8365,0.7402,Siit_Pistachio
85994,1146.311,0.8435,86823,0.78,0.8224,0.7322,Siit_Pistachio
85876,1153.936,0.8501,86580,0.7176,0.8104,0.7234,Siit_Pistachio
99259,1248.684,0.857,100206,0.6827,0.8,0.7166,Siit_Pistachio
71781,1026.9139,0.8035,72443,0.79,0.8554,0.7697,Siit_Pistachio
81460,1850.024,0.7145,89923,0.6371,0.2991,0.8052,Siit_Pistachio
85178,2043.08,0.8439,93367,0.7118,0.2564,0.7127,Siit_Pistachio
96605,1221.4041,0.8434,97499,0.7722,0.8137,0.7319,Siit_Pistachio
78795,1124.814,0.8641,81125,0.782,0.7826,0.7038,Siit_Pistachio
84745,1138.689,0.8442,85478,0.6908,0.8213,0.7315,Siit_Pistachio
77192,1093.131,0.8339,78274,0.7788,0.8118,0.7424,Siit_Pistachio
81702,1133.639,0.8517,82499,0.7556,0.7989,0.7208,Siit_Pistachio
83490,1161.547,0.8276,88472,0.6826,0.7776,0.7272,Siit_Pistachio
90292,1163.0601,0.822,91367,0.7616,0.8388,0.7504,Siit_Pistachio
77847,1121.584,0.851,80453,0.7367,0.7777,0.7167,Siit_Pistachio
94073,1234.496,0.8327,96646,0.69,0.7757,0.7393,Siit_Pistachio
97269,2058.1951,0.8195,103556,0.7537,0.2885,0.7428,Siit_Pistachio
101982,2237.7319,0.7386,116293,0.6997,0.2559,0.7772,Siit_Pistachio
99067,1220.4709,0.8095,99846,0.7438,0.8358,0.7634,Siit_Pistachio
79308,1735.127,0.7956,87692,0.6954,0.331,0.7464,Siit_Pistachio
93644,1543.316,0.8397,96894,0.7631,0.4941,0.7298,Siit_Pistachio
91806,1219.03,0.8266,94936,0.7745,0.7763,0.7439,Siit_Pistachio
79882,1994.8571,0.8509,90165,0.6998,0.2523,0.6866,Siit_Pistachio
92049,1182.959,0.8316,92839,0.7581,0.8266,0.7425,Siit_Pistachio
87207,1205.8311,0.8306,94960,0.7032,0.7537,0.7227,Siit_Pistachio
91169,1202.603,0.8375,92515,0.7823,0.7922,0.7381,Siit_Pistachio
81103,1560.489,0.8244,85030,0.7323,0.4185,0.7426,Siit_Pistachio
86506,1174.406,0.8126,90314,0.7293,0.7882,0.7533,Siit_Pistachio
98333,1193.415,0.7229,99298,0.7499,0.8676,0.8289,Siit_Pistachio
86692,1206.1379,0.8586,88354,0.7767,0.7489,0.7137,Siit_Pistachio
85432,1213.3979,0.6915,87611,0.7719,0.7292,0.8449,Siit_Pistachio
74964,1164.3459,0.7543,77616,0.7358,0.6949,0.8054,Siit_Pistachio
99405,1213.478,0.8094,100481,0.7415,0.8483,0.7653,Siit_Pistachio
86976,2043.899,0.7926,99546,0.6699,0.2616,0.7227,Siit_Pistachio
97711,1220.358,0.8188,98646,0.7555,0.8245,0.7565,Siit_Pistachio
81211,1112.223,0.7985,82281,0.7673,0.825,0.7748,Siit_Pistachio
102976,1316.215,0.8124,105300,0.7715,0.747,0.7612,Siit_Pistachio
88440,1244.879,0.8599,89724,0.6528,0.7171,0.7131,Siit_Pistachio
109687,1509.652,0.803,113148,0.7748,0.6048,0.7671,Siit_Pistachio
106692,1291.66,0.8479,108012,0.6352,0.8036,0.7269,Siit_Pistachio
82173,1149.972,0.8438,84610,0.7616,0.7808,0.7258,Siit_Pistachio
89703,1370.741,0.8136,93557,0.6966,0.5999,0.7565,Siit_Pistachio
88471,1222.2321,0.7889,90003,0.7664,0.7442,0.7829,Siit_Pistachio
84269,1117.506,0.8388,84787,0.7093,0.848,0.7363,Siit_Pistachio
109054,2177.3889,0.683,117667,0.7348,0.2891,0.8236,Siit_Pistachio
87128,1150.701,0.8238,87901,0.6852,0.8269,0.7481,Siit_Pistachio
76536,2473.856,0.7813,93443,0.5999,0.1572,0.7263,Siit_Pistachio
75528,1148.733,0.8533,77025,0.7591,0.7192,0.7202,Siit_Pistachio
95280,1284.781,0.8344,101887,0.749,0.7254,0.7275,Siit_Pistachio
99049,1322.4,0.8291,104384,0.7403,0.7118,0.7364,Siit_Pistachio
103691,1529.9611,0.6771,108660,0.775,0.5567,0.8511,Siit_Pistachio
76794,1286.188,0.8626,79243,0.7372,0.5833,0.7092,Siit_Pistachio
104832,1281.678,0.833,105815,0.7499,0.8019,0.7426,Siit_Pistachio
83963,1607.892,0.8296,86617,0.7775,0.4081,0.7423,Siit_Pistachio
92486,1317.787,0.8629,96781,0.7113,0.6693,0.7054,Siit_Pistachio
91604,1315.079,0.8306,92593,0.7864,0.6656,0.7436,Siit_Pistachio
85903,1193.192,0.846,87165,0.7995,0.7582,0.7288,Siit_Pistachio
87914,1187.509,0.825,88854,0.7405,0.7834,0.7485,Siit_Pistachio
89107,1261.297,0.811,93819,0.7916,0.7039,0.7549,Siit_Pistachio
82562,1806.656,0.8112,87991,0.6708,0.3179,0.7476,Siit_Pistachio
77331,1112.238,0.8127,79319,0.7172,0.7855,0.7563,Siit_Pistachio
89442,1235.306,0.7894,91502,0.7772,0.7366,0.7791,Siit_Pistachio
97684,1296.954,0.8632,98693,0.7547,0.7298,0.7088,Siit_Pistachio
70865,1981.442,0.8189,81163,0.6588,0.2268,0.705,Siit_Pistachio
78701,1151.735,0.8525,82982,0.6884,0.7456,0.7102,Siit_Pistachio
92515,1173.646,0.7578,93476,0.7812,0.844,0.8069,Siit_Pistachio
92544,1169.63,0.8362,93282,0.7556,0.8501,0.739,Siit_Pistachio
90435,1802.5959,0.8011,97148,0.7157,0.3497,0.7568,Siit_Pistachio
78585,1081.7629,0.8144,79399,0.7692,0.8439,0.7602,Siit_Pistachio
87912,1253.6021,0.8499,88991,0.7591,0.703,0.7251,Siit_Pistachio
86089,2434.1909,0.85,93970,0.6944,0.1826,0.6899,Siit_Pistachio
91919,1485.979,0.8826,95553,0.7368,0.5231,0.682,Siit_Pistachio
104185,1255.266,0.827,104976,0.7472,0.8309,0.7475,Siit_Pistachio
95857,1916.952,0.6532,106074,0.6913,0.3278,0.833,Siit_Pistachio
76732,1177.798,0.805,78068,0.7215,0.6951,0.7641,Siit_Pistachio
95210,1186.613,0.8432,96010,0.7961,0.8497,0.7325,Siit_Pistachio
87473,1519.543,0.7374,93141,0.7439,0.4761,0.8053,Siit_Pistachio
68432,1112.882,0.839,73313,0.6943,0.6943,0.7153,Siit_Pistachio
110047,1694.811,0.6728,116346,0.7488,0.4814,0.8467,Siit_Pistachio
101876,1222.046,0.7786,104838,0.7254,0.8572,0.7864,Siit_Pistachio
84798,1201.7889,0.8421,85929,0.7263,0.7378,0.73,Siit_Pistachio
99962,2260.0449,0.7876,110051,0.6728,0.2459,0.7576,Siit_Pistachio
98991,1742.339,0.8295,104041,0.7855,0.4098,0.7406,Siit_Pistachio
75008,2229.2529,0.7723,95004,0.5952,0.1897,0.683,Siit_Pistachio
